Sentences,Frame
"Russian illwill grew when the Prince wanted to marry a Prussian princess , a granddaughter of the kaiser . ",Leadership
But the kaiser pleased the tsar by vetoing Prince Alexander 's return to the Bulgarian throne . ,Leadership
YOUR article suggesting the Queen has now given up on Charles and Diana being the next king and queen of England was fascinating . ,Leadership
"More often , there was the queen of England 's interest . ",Leadership
"Head of state : Beatrix , Queen of the Netherlands . ",Leadership
"Dido is the Queen of Carthage , Anaeas is the King of Troy , but their love is to be destroyed by a wicked sorceress . ",Leadership
Within a few hours of becoming queen Anne wrote to the Dutch States-General setting out the basis of her policy . ,Leadership
He warned the exact arrangement announced yesterday will have to remain unchanged if Diana has any possibility of becoming queen . ,Leadership
"They are , of course , all reigning queens and this year the best-known -- and many would argue the best-loved -- will be celebrating 40 years on the throne . ",Leadership
On Christmas Eve among the Christmas cards he found a letter from Anthony Eden offering to recommend him to the Queen for the see of York . ,Leadership
"From there , we could see the queen on her terrace ",Leadership
"The Army Board will consider the claims and recommendations will be submitted to the Queen for approval , said Mr Rifkind . ",Leadership
"He 's invited the Queen to the Soviet Union , and in London he announced that two nuclear reactors making weapons will close . ",Leadership
"He had reassuring news for his daughter , in case she was worried about ever becoming Queen after separating from husband Charles . ",Leadership
"I heard later that the Queen was so angry that she refused to enter any of the damaged rooms ever again , and promised to take her revenge on me . ",Leadership
"The Queen had agreed to it because the Queen would agree to anything Fergus wanted , everyone knew that . ",Leadership
"Queen Helena , a devout Christian and the mother of Emperor Constantine the Great , made a pilgrimage to the Holy Land in 326 to identify the sites associated with Jesus 's life .",Leadership
"Their portfolios were taken over respectively by Reinhold Stefanis and Ricardo Fuiza , both congressmen from the Liberal Front Party ( PFL ) .",Leadership
"Meanwhile , congressmen from energy-producing states are going around town telling everybody who is willing to listen what splendid concessions they got in return for their votes .",Leadership
"Sander Levin , a congressman from Michigan , claims that Japanese car plants in the United States favour their keiretsu partners unfairly when ordering components .",Leadership
"The landowner , a former state and federal congressman , fenced off property which included part of the Truka land .",Leadership
He hopes to drum up the support of sympathetic congressmen who blame the law for high fares .,Leadership
The House of Representatives adjourned to enable Congressmen either to watch or to march in the procession of delegates past the east front of the Capitol .,Leadership
He is living proof that an individual congressman with energy and knowledge can turn himself into a foreign-policy entrepreneur .,Leadership
"Now senators and congressmen have demanded an inquiry , and President Corazón Aquino has promised a crackdown .",Leadership
"On May 24th 146 American congressmen , over a third of the House of Representatives , sent a letter urging him ` to clearly exercise civilian authority over the armed forces "" .",Leadership
"It is also evident that , unlike Carter , Reagan had no inhibitions about tending to the needs of congressmen in return for their support .",Leadership
"He was in fact one of the most important and influential men in Washington , feared and respected by Senators , Congressmen and the Military .",Leadership
"In a series of private discussions with congressmen on Capitol Hill , Mr Major was asked only once directly about Ulster and replied that progress was being made in getting people round the table for negotiations .",Leadership
"Some even point to the ` encouragement "" offered by the batty suggestion of an American congressman that boat people should be sent to help rebuild Kuwait .",Leadership
"He also met Bush , congressmen and the Joint Chiefs of Staff , and visited military installations .",Leadership
"No doubt his poem , which congressmen listened to with deepest embarrassment , sounded better late at night , after a beer or two .",Leadership
"Joseph M. McDade , a Republican congressman who had represented Pennsylvania for 30 years , was on May 5 charged with racketeering , conspiracy and falsifying his financial disclosure statements .",Leadership
Alan Wheat has been Kansas City 's congressman since 1982 .,Leadership
"As a former congressman himself , he was well acquainted with the dangers facing the executive 's proposals when they reached Capitol Hill .",Leadership
"Brazil 's best known green congressman , Fabio Feldmann , warned that several state governors in the Amazon have recently been elected on an anti-ecology ticket , promising to protect farmers who burn down the rain forest .",Leadership
"By contrast , a ` Solarz for President "" campaign sounds improbable : the congressman has spent much more time in Asia than in Iowa .",Leadership
The Democratic caucus in the House decided in 1971 that members should be limited to one sub-committee chairmanship thereby making it possible for many more congressmen to hold these coveted posts .,Leadership
At least one other congressman has visited Iraq .,Leadership
"Hall , an Ohio Democrat and one of very few U.S. congressmen to visit Iraq since the 1991 Gulf War over Kuwait , is scheduled to embark Sunday the 12-hour overland trip to the Iraqi capital , Baghdad .",Leadership
"U.S. Democratic Party Congressman Tony Hall left here Thursday after concluding his landmark visit to Iraq , which has been under sweeping U.N. sanctions since 1990 .",Leadership
"Earlier this year , some 70 U.S. congressmen sent a letter to U. S. President Bill Clinton , calling for an end to the humanitarian crisis in Iraq by having the sanctions lifted .",Leadership
"Upon arrival , Hall said that his visit , the first of its kind by an American congressman since the 1991 Gulf War , was not political but humanitarian .",Leadership
"U.S. Congressman Tony Hall arrived here Sunday evening , becoming the first U.S. lawmaker to visit Iraq since the 1991 Gulf War .",Leadership
"From the same papyri we learn that the Ptolemies had picked up the well-known Sheikh of Transjordan , Tobiah , to command the military settlers in his territory . ",Leadership
Will he join me today in thanking the Sheikh of Abu Dhabi for his recent proposals which form part of the crucial negotiations that are taking place ? ,Leadership
One of them reached over to search out the right tape and handed it to his Sheikh . ,Leadership
"` I managed to get an interview with the Sheik for an article I was writing . "" ",Leadership
Sheikh al Hassan asked the unfamiliar question with some distaste . ,Leadership
"` We have told them that , "" said the other sheikh unexpectedly . ",Leadership
The sheikh came towards Owen . ,Leadership
"On our way back to Aden we attended a gathering of Arab sheikhs , who presented my father with a magnificent dagger . ",Leadership
You are not fair when you belittle Sheik Bin Baz 's blunder and exaggerate the one by Sheik Maqdasi ...,Leadership
"Sheik Rida , fear God .",Leadership
Sheik Maqdasi did not criticize Sheik Bin Baz 's only for his edict which emphasizes not to consider a regime an apostate if it has n't adhered to Islamic laws .,Leadership
"Indeed , the Sheik issued two edicts regarding the same issue that contradict each other ...",Leadership
"Dubai 10-28 ( FP ) - Dubai 's Crown Prince Sheikh Mohamed Bin Rashid Al Maktoum inaugurated a free zone for e-commerce today , called Dubai Internet City .",Leadership
"You Sheik announced war on those , with the opposings of many sectors and scholars of decision making .",Leadership
"My Sheik , here 's some of the events that happened in Ramadi :",Leadership
"1- Sheik Nasr al-Fahdawi , Sheik of AlbuFahd tribe , was nominated to be the governor of Anbar , this man worked so hard fighting the ( Tanzim ) organization , with all he 's got , from money to power , and reputation in Ramadi .",Leadership
"1- Sheik of al-Bubali tribe in al-Jazira , Sheik Sarhan , who 's one of the traitors , and every time one of their traitors gets killed , he shows outrage and packs his tribe with their guns against the brothers .",Leadership
"2- Sheik of Albu'Ubaid ( Salah al-Dhari ) , who slaughtered thirty sheeps in one dinner party , where he invited heads and Sheiks of tribes in Ramadi , to encourage their youth to join the police and the national guard , and that 's two days before the murder of Sheik Nasr al-Fahdawi .",Leadership
"1- Sheik Hatim Abd al-Razzaq Mu'jil al-Ka'ud , Sheik AlbuNimr tribe .",Leadership
"2- Sheik Anwar Abd al-Razzaq al-Kharbit , AlbuKhalifah .",Leadership
"Unlike most birdwatchers , I am lucky enough to live less than four hours ' drive from their regular winter home -- a wildfowl marsh constructed by one of the Maharajahs of Bharatpur . ",Leadership
Legge really stabilized the Philharmonia 's finances and was able to engage you permanently with the orchestra in 1949 as a result of money from the Maharaja of Mysore . ,Leadership
