Sentences,Frame
"Rain hissed against the tyres , and the beat of the wipers became almost hypnotic . ",Impact
Thunder grumbled somewhere in the sky again and rain hissed at the windows . ,Impact
"A guard moved back , letting them pass , the door hissing open at their approach . ",Motion_noise
The driver 's door hissed open and the Anti-Rex stepped out . ,Motion_noise
Although Viking was lying quietly enough at the moment we could tell by the sudden gusts which hissed down from the high southern cliff that it was blowing quite hard on the weather side . ,Motion_noise
The door hissed shut . ,Motion_noise
Half an hour later the door clanged open and Kaas entered . ,Impact
Eric 's guitar sounded like two steel rail wagons clanging together in a Chicago freight yard at 4am . ,Impact
"Once more the long gleaming blades clanged together , the clear bell-like notes of their joyous battle song sounding loud in the high-walled arena of death . ",Impact
A bullet clanged monstrously loud on a brass barrel and ricocheted up into the sky . ,Impact
"The car 's hydraulics soughed as they tried to compensate for the sudden shift of the bubble but against that gale they were all but useless , and the bubble-canopy clanged on the car 's shell . ",Impact
"Sword clanged on stone , and Fedorov cursed as it jarred his wrist . ",Impact
Soon the chewed mass has sponged up any moisture left and your dry tongue is clanging against the side of your mouth like the great bell of Notre Dame . ,Impact
It clanged against the biscuit tin . ,Impact
Iron clanged against steel . ,Impact
The door clanged shut . ,Impact
As the door clanged upwards his head turned slowly round so that he was facing the garage . ,Motion_noise
"Steam cars hold speed records , libraries fly , leg-propelled carriages run , double-boilered steam engines balance on monorails , trams clang cross-country and trains lean a little . ",Motion_noise
"Then the door clanged open and she thought in surprise , We 're down ! ",Motion_noise
"She could imagine it clanging across the hall , up the stairway , along the draughty corridors , around the drawing-room and out through the open windows . ",Motion_noise
"The lid clanged down , rattling on its pulleys . ",Motion_noise
"Unfortunately , the announcement of free time seemed to be the local signal for metal shutters to clang down over everything one might have wanted to see . ",Motion_noise
"The gates clanged shut again , Berwick succoured , after a fashion , with a day to go . ",Motion_noise
"The cobbled lane boasted a pub , the Bargee , which the rivermen used , but it saw very few customers once the wharf gates clanged shut . ",Motion_noise
When the door clanged shut we all turned to tend to Brian . ,Motion_noise
"His legs thudded on and on , but the movement was mechanical , with no spirit in it . ",Impact
"A moth thudded into the parchment lampshade and blundered round , trying to escape . ",Impact
An arrow thudded on his helmet . ,Impact
"Marching along the street , with boots thudding and fingers slapping ( a peculiarly skinhead mannerism ) , all wearing the same clothes and the same haircut , the skinheads presented an image of power . ",Impact
"I must have underestimated the benefit of my practice with the neighbour 's cat , since my attempt seemed to sail on and on before it thudded to the ground . ",Impact
"The bird had thudded against the wallpaper and started to flop downwards and then swooped round and up , seeming ignorant of the opening through which it had entered . ",Impact
"The sea roared like a pride of hungry lions , thudding against the side of the ship like a thousand battering-rams , so that it seemed that at any moment it must break through and drown them all . ",Impact
Omar said the rocks continued to thud against her body for what seemed to be an interminable time . ,Impact
"And as the horse thudded over the frozen grass of the common land and came to the high road in a clatter of hooves , she sensed , beneath the fear , some ripple of excitement . ",Impact
I heard Jean-Claude thud down the stairs and greet the man at the door . ,Impact
