Sentences,Frame
"Sometimes he pulled out a hanky , as tar stained as his teeth , and trumpeted loudly into it . ",Make_noise
"But the elephants went gaily dancing and trumpeting away over the mountains , through Roumania and Georgia , through Turkey , Iran , and Afghanistan , until they came to their native land . ",Make_noise
"Then someone asked me where the station was , and she was deaf , and I had to trumpet like an elephant for about ten minutes … . ",Make_noise
""" He glanced over his shoulder to where Calatin was trumpeting into a red spotted handkerchief . ",Make_noise
"Making no concessions to the concept of melody , the band members blasted away at their instruments as loud as they could . ",Cause_to_make_noise
The Cortina blasted his horn and waved him on and that was that . ,Cause_to_make_noise
"Clothes , newspapers and nameless rubbish littered the floor and over everything a radio blasted away at fall strength . ",Make_noise
"As keyboard player for the prolific Joey Negro , Andrew ` Dog "" Livingstone often finds himself woken up by the radio alarm clock blasting out his latest piano riff . ",Make_noise
The internal light came on and the radio turned itself on and blasted out heavy rock music at full volume . ,Make_noise
"Everything came at you like a meteor , blasting out sound and colour and light . ",Make_noise
The driver of the traffic car I 'd zipped past at 110 m.p.h. had clearly been convinced he 'd been hallucinating since he did n't get on my tail with sirens blasting . ,Make_noise
"In the tower , five men and women pull rhythmically on ropes attached to the same five bells that first sounded here in 1614 .",Make_noise
They belong to a group of 15 ringers -- including two octogenarians and four youngsters in training -- who drive every Sunday from church to church in a sometimes-exhausting effort to keep the bells sounding in the many belfries of East Anglia .,Make_noise
"Then , at a signal , the ringers begin varying the order in which the bells sound without altering the steady rhythm of the striking .",Make_noise
A series of disastrous decisions at the beginning of the 20th century began to sound a death knell for the Ottoman Empire .,Make_noise
Ratagan cocked his head to listen to the race of the wind outside that creaked the rafters . ,Cause_to_make_noise
"Emmie got up , trying not to creak the chair . ",Cause_to_make_noise
Jamie 's stairs creak every one in three . ,Make_noise
"Leaning back so that the chair creaked alarmingly , he held her watch up , dangling it to and fro by the strap , his expression neutral . ",Make_noise
"` Yes , we 're consulting quite closely , "" Dr Greene nodded , his swivel chair creaking importantly as he rocked his rather bulky body slowly back and forth . ",Make_noise
The chair creaked alarmingly under his weight . ,Make_noise
It was a rather rickety affair that creaked embarrassingly when I sat down in it and ever after when I moved . ,Make_noise
"The last step but one creaked protestingly and she grimaced apprehensively , her body almost turning to stone as she waited for Dane to suddenly appear and demand to know what she was doing . ",Make_noise
The chair creaked slightly . ,Make_noise
They creak only slightly as they open . ,Make_noise
The little helicopter creaked slightly as it relaxed on to its skids and then a kind of ear-splitting silence settled around it as the rotors drifted to a halt . ,Make_noise
"We went slowly through them in low gear , rolling like a ship in a heavy sea , our rigging of ropes , which lashed all the bags in place , creaking loudly . ",Make_noise
"Loose boards will creak annoyingly as you walk over them , and raised edges or pronounced warping may show as lines through your new floorcovering . ",Make_noise
"It smelled of age rather than leather when he lowered himself on to it , rising dust spoiling the air , the material itself creaking dryly . ",Make_noise
"His mother would sit with him , knitting , occupying a rocking chair which creaked regularly as she moved it . ",Make_noise
"The pew creaked when Keith sat down , and Stella looked across the aisle . ",Make_noise
His shell began to creak and shake . ,Make_noise
On the river the vessels creaked and groaned as a gust of wind caught them . ,Make_noise
"No-one was certain if any hanging had really taken place but on cold , windy nights the tree would creak and moan , startling those who happened to be passing by . ",Make_noise
"The table creaked and seemed to come alive , and the taps followed . ",Make_noise
Ruth tried not to show her terror when the timbers creaked and moaned like tormented spirits and she could hear the waves breaking on the deck above them . ,Make_noise
Underfoot the ice creaked and groaned dubiously : we were over the sea . ,Make_noise
"Roads are congested , bridges creak and sewers seep . ",Make_noise
The great wooden chalet creaked and resonated like a galleon in full sail . ,Make_noise
"Above them , the branches of the oak tree were beginning to creak and sway . ",Make_noise
The trees creak and sigh . ,Make_noise
"Around him , sleepers creaked and girders groaned as they took the weight of the approaching train . ",Make_noise
I sat down on Frank 's bed and it creaked and sagged . ,Make_noise
Above us the old house creaked and groaned . ,Make_noise
The leather creaked but the hooves were silent in the snow . ,Make_noise
The drawer creaked as it came open . ,Make_noise
The policeman 's shoes creaked as he shifted his weight . ,Make_noise
"Blanche 's chair creaked as she leant forward , hands on her knees . ",Make_noise
The planks above him creaked as Simon hoisted himself inside . ,Make_noise
"` We keep a welcome for all , "" said Francie in his voice which creaked through lack of use . ",Make_noise
"He started to come up the stairs , the boards creaking under his weight , and Danielle braced herself , determined not to do anything that could annoy or upset him . ",Make_noise
A loose sheet of metal on the roof of a shed down the railway line flapped and creaked in a puff of pre-dawn wind . ,Make_noise
"In the field a bit clinked in a horse 's mouth , a saddle creaked under the rider 's weight . ",Make_noise
"Above me , the gaily painted signs of the taverns and food shops creaked in the wind and mocked my hunger . ",Make_noise
"Stairs of dark wood curved up from the hall , and the old treads creaked under their combined weight . ",Make_noise
"Ivan toppled towards me , creaking like a rusty hinge . ",Make_noise
The old house creaked in its joints like an old dog settling down for the night . ,Make_noise
A distant floorboard creaked . ,Make_noise
"The kitchen clock croaked and creaked , seeming to match the uneven rhythm of his heart . ",Make_noise
"He stood up , his bones creaking , and went to the kitchen window to take the blackout frame down . ",Make_noise
"The floorboards groaned , the narrow stairs creaked . ",Make_noise
Dexter watched the shadows of the trees play over the panels of the door of the kiosk as it creaked shut behind Blanche . ,Make_noise
The tram clanged its bell and rattled off angrily into the gloom . ,Cause_to_make_noise
"It clanged urgently , like a fire-engine dashing towards a disaster , like the ambulance thundering along behind to retrieve the bodies . ",Make_noise
"Somewhere , the bell of a fire engine clanged and men 's voices called urgently . ",Make_noise
"The bell swung round , clanging and reverberating . ",Make_noise
"Thunderous knocks hit the door downstairs , the bell clanged and clanged . ",Make_noise
On the ground more hammers were clanging and great locks being screwed into position . ,Make_noise
A handbell in the Bishop 's fist clanged like a ship 's bell . ,Make_noise
"She lay down , and he drifted off , and five minutes later the central heating was hissing and clanging like a forge . ",Make_noise
The pots and pans in the galley clanged . ,Make_noise
"The car shifted , and something clanged . ",Make_noise
"She turned the tap on , and the plumbing clanged . ",Make_noise
"`` To ring for even one service at this tower , we have to scrape , '' says Mr. Hammond , a retired water-authority worker .",Cause_to_make_noise
"According to a nationwide survey taken a year ago , nearly a third of England 's church bells are no longer rung on Sundays because there is no one to ring them .",Cause_to_make_noise
